"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"138","CHN_AUS","CHN","AUS",2010,156,36,105868,0,0,0,8956.436,0,0,0,42588.4509885439,9293.73336220873,22154687,1368810604
"139","CHN_AUS","CHN","AUS",2015,156,36,136970,0,0,0,8956.436,0,0,0,45369.3103353939,13140.0244591117,23932499,1406847868
"140","CHN_AUS","CHN","AUS",2020,156,36,109530,0,0,0,8956.436,0,0,0,46255.9119868882,17141.2083598046,25499881,1439323774
"141","CIV_AUS","CIV","AUS",2000,384,36,2,0,0,0,15950.81,0,0,0,36510.1629185009,4006.00576861134,18991434,16454660
"142","CIV_AUS","CIV","AUS",2005,384,36,15,0,0,0,15950.81,0,0,0,40542.4981461435,3651.20091861995,20178543,18354513
"143","CIV_AUS","CIV","AUS",2010,384,36,42,0,0,0,15950.81,0,0,0,42588.4509885439,3665.18645972359,22154687,20532944
"144","CIV_AUS","CIV","AUS",2015,384,36,41,0,0,0,15950.81,0,0,0,45369.3103353939,4387.73766866115,23932499,23226148
"145","CIV_AUS","CIV","AUS",2020,384,36,24,0,0,0,15950.81,0,0,0,46255.9119868882,5212.05662612182,25499881,26378275
"146","CMR_AUS","CMR","AUS",2000,120,36,1,0,1,0,14687.67,0,0,0,36510.1629185009,2429.1866333281,18991434,15513944
"147","CMR_AUS","CMR","AUS",2005,120,36,32,0,1,0,14687.67,0,0,0,40542.4981461435,2641.79411382535,20178543,17733408
"148","CMR_AUS","CMR","AUS",2010,120,36,105,0,1,0,14687.67,0,0,0,42588.4509885439,2788.17784640191,22154687,20341236
"149","CMR_AUS","CMR","AUS",2015,120,36,100,0,1,0,14687.67,0,0,0,45369.3103353939,3130.16998070631,23932499,23298376
"150","CMR_AUS","CMR","AUS",2020,120,36,59,0,1,0,14687.67,0,0,0,46255.9119868882,3169.04775443958,25499881,26545864
"151","COD_AUS","COD","AUS",2000,180,36,1,0,0,0,13748.65,0,0,0,36510.1629185009,561.909248742783,18991434,47105830
"152","COD_AUS","COD","AUS",2005,180,36,9,0,0,0,13748.65,0,0,0,40542.4981461435,580.151119103693,20178543,54785894
"153","COD_AUS","COD","AUS",2010,180,36,1490,0,0,0,13748.65,0,0,0,42588.4509885439,642.11748215533,22154687,64563853
"154","COD_AUS","COD","AUS",2015,180,36,2033,0,0,0,13748.65,0,0,0,45369.3103353939,796.829890261249,23932499,76244532
"155","COD_AUS","COD","AUS",2020,180,36,1882,0,0,0,13748.65,0,0,0,46255.9119868882,805.147871039591,25499881,89561404
"156","COG_AUS","COG","AUS",2000,178,36,2,0,0,0,13759.13,0,0,0,36510.1629185009,5343.84536239598,18991434,3127420
"157","COG_AUS","COG","AUS",2005,178,36,379,0,0,0,13759.13,0,0,0,40542.4981461435,4958.16849949292,20178543,3622775
"158","COG_AUS","COG","AUS",2010,178,36,913,0,0,0,13759.13,0,0,0,42588.4509885439,5580.92328018322,22154687,4273738
